Gene	O1_E_1cm	O1_E_5cm	O1_K_1	O1_LI_10cm	O1_LI_19cm	O1_LI_1cm	O1_LI_28cm	O1_LI_37cm	O1_LI_46cm	O1_LI_55cm	O1_S_1	O1_S_3	O1_SI_161cm	O1_SI_1cm	O1_SI_201cm	O1_SI_41cm	O1_SI_81cm	O1_Tg_F_Th	O2_E_1cm	O2_E_5cm	O2_K_1	O2_LI_10cm	O2_LI_19cm	O2_LI_1cm	O2_LI_28cm	O2_LI_37cm	O2_LI_46cm	O2_LI_55cm	O2_S_1	O2_S_3	O2_SI_121cm	O2_SI_145cm	O2_SI_49cm	O2_Tg_TR	Y1_E_1cm	Y1_E_5cm	Y1_K_1	Y1_LI_10cm	Y1_LI_19cm	Y1_LI_1cm	Y1_LI_28cm	Y1_LI_37cm	Y1_LI_46cm	Y1_LI_55cm	Y1_S_1	Y1_S_3	Y1_SI_113cm	Y1_SI_137cm	Y1_SI_29cm	Y1_SI_85cm	Y1_Th_TG_f	Y2_E_1cm	Y2_E_5cm	Y2_K_1	Y2_LI_10cm	Y2_LI_19cm	Y2_LI_1cm	Y2_LI_28cm	Y2_LI_37cm	Y2_LI_46cm	Y2_LI_55cm	Y2_S_1	Y2_S_3	Y2_SI_113cm	Y2_SI_141cm	Y2_SI_169cm	Y2_SI_1cm	Y2_SI_29cm	Y2_SI_57cm	Y2_Tg_TR
UniRef90_A0A3E5DWR6	0	0	0	2.49599	1.59471	1.0567	1.94054	2.94602	2.21584	2.50018	0	0	0	0	0	0	0	0	0	0	0	3.7331	2.51341	2.83017	3.24474	2.70539	0.360754	0.0983102	0	0	0	0	0	0	0	0	0	0.25937	0.291344	3.68568	0.287937	0.466461	0.521786	0.150113	0	3.56661	0	0	0	0	0	0	0	0	1.65041	0.718911	3.18885	1.17541	0.332203	0.86196	1.37598	0	0	0	0	0	0	0	0	0
UniRef90_A0A3E5DWS9	0	0	0	1.41061	1.0113	0.818821	1.4934	1.85865	1.55123	1.80007	0	0	0	0	0	0	0	0	6.10001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.385038	0.276604	4.77782	0.453577	0.324658	0.370623	0.163269	0	6.82035	0	0	0	0	0	0	0	0	2.93308	1.67756	5.60712	2.31571	0.499329	1.69044	1.7906	0	4.20644	0	0	0	0	0	0	0
UniRef90_A0A3E5DWT1	0	0	15.1386	6.2409	6.66317	9.80883	7.07303	7.15755	7.88908	9.46363	5.8721	0	0	0	6.75064	0	0	0	0	0	0	14.5353	13.5533	12.5306	16.6444	13.3098	1.45197	0.790053	9.3941	4.12995	0	0	0	0	0	0	0	0.594066	0.444831	6.27377	0.803582	0.647101	1.36295	0.614328	0	4.55016	0	0	0	0	0	0	0	16.7545	5.37821	3.60653	6.88823	3.42161	2.19484	4.86736	4.63546	0	4.48087	3.18503	21.1821	8.60466	0	0	0	0
UniRef90_A0A3E5DWT6	0	0	0	0.653497	0.167511	0.0926664	0.319691	0.38511	0.358951	0.619151	0	0	0	0	0	0	0	0	0	0	0	0.199178	0.217888	0.215131	0.107016	0.115798	0	0	0	0	0	0	0	0	0	0	0	0.105085	0.145896	0.863527	0.169499	0.209319	0.424453	0.0780176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UniRef90_A0A3E5DWU0	14.5731	0	0	5.46282	2.65522	2.64086	4.41639	6.1241	5.11537	4.52058	0	0	2.87765	5.87534	7.10988	0	0	0	0	0	4.04637	6.90158	3.53908	5.44179	5.88227	3.94416	0.553691	0.374902	0	4.34973	0	0	0	0	0	0	0	0.435885	0.590284	8.49067	0.720864	1.02732	0.959731	0.422505	0	8.60094	0	0	0	0	0	0	0	0	5.73214	2.81876	9.96058	3.50427	1.71702	3.78736	4.13322	4.1283	0	0	0	0	1.65994	0	0	0
UniRef90_A0A3E5DWU3	0	0	0	0.455281	0.215427	0.240488	0.257495	0.389723	0.351797	0.359924	0	0	0	0	0	0	0	0	0	0	0	0.467903	0.355888	0.485372	0.54786	0.33967	0.0713535	0	0	0	0	0	0	0	0	0	0	0.154927	0.253033	2.73524	0.215684	0.323605	0.377962	0.191582	0	3.22126	0	0	0	0	0	0	0	0	2.67211	1.15829	4.88757	1.70099	0.456999	1.15837	1.23417	0	0	0	0	0	0	0	0	0
UniRef90_A0A3E5DWV1	0	0	0	0	0	0	0	0	0	0.053887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.201602	0	3.15557	0.162795	0.200373	0.397931	0.179487	0	4.30052	0	0	0	0	0	0	0	0	2.99344	1.20533	4.42371	1.91571	0.539322	1.18726	1.74522	0	0	1.37146	0	0	0	0	0	0
UniRef90_A0A3E5DWV2	0	0	0	1.81287	1.31994	1.85234	2.76154	2.32181	2.18235	2.35443	0	0	16.4026	5.58157	0	0	0	0	0	0	0	3.75464	2.19496	3.40763	2.79683	3.41992	0.600971	0.158268	0	0	5.05077	0	0	0	0	0	0	0.157707	0	2.0834	0.548412	0.157068	0.329289	0.0702089	0	1.3217	0	0	0	0	0	0	0	0	0.798464	0.55075	0.542041	0.158528	0.228669	0.312863	0.662495	0	3.5847	0	0	0	0	0	0	0
UniRef90_A0A3E5DWX4	0	0	27.2237	15.9213	11.5254	16.456	12.1152	15.6257	14.5289	15.8244	15.8727	0	18.9077	16.875	27.5483	0	0	0	0	0	0	28.6581	20.8244	24.3576	27.432	22.5291	2.3747	0.616204	13.6791	11.4553	12.6771	0	0	0	0	0	0	0.155749	0.29109	6.13151	0.356816	0.520787	0.482387	0.454794	0	6.6867	0	0	0	0	0	0	0	0	24.5114	19.6475	34.8672	18.9812	13.8947	18.7286	18.067	5.73751	8.38655	7.92628	0	11.9335	8.28455	0	0	0
UniRef90_A0A3E5DWY2	0	0	0	1.50048	0.755969	0.865745	1.03154	1.32056	1.26941	1.14199	0	0	0	0	0	0	0	0	0	0	0	1.5116	0.92964	1.20942	1.42638	1.15663	0.133202	0	0	0	0	0	0	0	0	0	0	0	0.110975	1.00122	0.130648	0.12374	0.241478	0.0747203	0	0.895815	0	0	0	0	0	0	0	0	1.50431	1.11346	2.31374	1.08689	0.59228	0.989374	1.05973	0	0	0	0	0	0	0	0	0
UniRef90_A0A3E5DWY9	0	0	16.07	26.4915	17.8545	22.4737	19.8468	24.8394	24.3074	26.2152	36.2012	4.13741	20.3563	23.5816	7.8089	0	0	0	4.68546	14.6588	16.6873	43.2812	31.7961	37.2515	43.7924	36.944	4.21824	1.10359	33.3405	11.4981	16.9934	0	0	0	0	0	0	0.826622	1.52612	19.0754	1.87233	1.8951	2.13332	1.16437	0	16.6783	6.13612	0	0	0	9.4563	0	0	9.10107	44.4721	32.34	64.3541	30.8426	21.05	27.9689	30.2828	6.13201	13.4141	17.1948	20.1725	30.533	14.382	0	0	0
UniRef90_A0A3E5DWZ5	0	0	0	7.82505	4.51332	3.4567	5.79703	8.60891	7.43617	7.52385	7.35719	0	5.69269	6.79673	7.75761	0	0	0	0	0	0	7.73437	4.80915	5.66334	7.27624	5.17973	0.770186	0.20662	4.58081	4.16936	0	0	0	0	0	0	0	0.528118	0.802158	10.022	0.876242	1.0925	1.50295	0.516027	0	11.2152	0	0	0	0	0	0	0	0	8.87031	4.48023	12.5162	4.9595	2.15828	4.74869	5.44484	5.12037	3.43356	1.99579	7.63565	6.28681	2.41426	0	0	0
UniRef90_A0A3E5DWZ6	0	0	0	1.18236	0.940662	0.551776	0.891088	0.757419	0.931878	0.639666	0	0	0	0	0	0	0	0	0	0	0	0.813315	0.828284	0.646328	0.667411	0.450118	0.0618498	0	0	0	0	0	0	0	0	0	0	0	0	0.10885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UniRef90_A0A3E5DX15	0	0	0	7.4553	4.12081	2.80899	5.22511	8.23848	6.68128	6.90972	5.19896	0	5.02203	5.14209	4.4543	0	0	0	0	0	0	8.89987	5.43349	6.28535	8.76567	5.67469	0.842808	0.225692	0	5.78995	0	0	0	0	0	0	0	0.701717	0.807208	10.171	1.10837	1.34809	1.40724	0.638973	0	11.7898	0	0	0	0	0	0	0	0	8.52741	3.87414	12.2994	4.40732	2.43422	4.12387	5.80374	3.59679	6.28192	2.11511	6.161	7.61889	2.36053	0	0	0
UniRef90_A0A3E5DX26	0	0	25.4061	11.3494	6.45192	5.97749	8.06692	12.723	10.3074	10.1484	11.2237	3.42391	6.55414	0	4.85535	0	0	0	0	0	0	13.752	8.7304	9.67539	12.4701	9.32794	1.5833	0.352937	6.75664	8.91131	0	0	0	0	0	0	0	0.680373	1.24894	13.8992	1.30699	1.62343	2.0619	0.778499	0	15.5713	15.2338	0	0	0	0	0	0	0	22.9305	15.6212	29.1104	14.7667	9.55737	15.6674	15.3079	2.35065	4.12848	8.39964	14.9188	8.25179	3.83493	0	0	0
UniRef90_A0A3E5DX28	12.7985	0	0	7.81858	4.18509	3.17099	5.24646	8.57807	6.97941	7.26525	5.0922	0	3.75481	7.66625	8.02816	0	0	0	0	0	0	8.85183	5.57833	6.87638	8.76904	6.00932	0.97793	0.244238	0	4.34809	0	0	0	0	0	0	0	0.712336	0.799435	11.3324	1.22545	1.34095	1.70155	0.561524	0	10.3912	0	0	0	0	0	0	0	0	8.72056	4.41481	12.2217	4.90265	2.21366	4.73386	5.36411	4.93779	3.26829	3.05929	5.72729	3.15159	0	0	0	0
UniRef90_A0A3E5DX33	0	0	0	7.07356	3.55448	3.10196	5.11791	7.43189	6.93339	7.0722	0	0	4.72196	0	0	0	0	0	0	0	0	9.58583	4.93976	5.97061	7.65788	5.6159	0.750987	0.354239	6.49047	5.7058	6.55682	0	0	0	0	0	0	0.825843	0.847273	11.6366	1.22401	1.0827	1.41525	0.422575	0	12.8865	0	0	0	0	0	0	0	0	7.86437	4.3129	13.0784	5.62486	1.81328	4.7259	5.67914	0	0	1.32034	0	0	0	0	0	0
