Metabolites,Group,O1_LI_1cm,O1_LI_10cm,O2_LI_1cm,O2_LI_10cm,Y1_LI_1cm,Y1_LI_10cm,Y2_LI_1cm,Y2_LI_10cm,O1_LI_37cm,O1_LI_46cm,O1_LI_55cm,O2_LI_37cm,O2_LI_46cm,O2_LI_55cm,Y1_LI_37cm,Y1_LI_46cm,Y1_LI_55cm,Y2_LI_37cm,Y2_LI_46cm,Y2_LI_55cm,O1_SI_81cm,O2_SI_121cm,Y1_SI_85cm,Y1_SI_113cm,Y2_SI_57cm,Y2_SI_113cm,O1_SI_161cm,O1_SI_201cm,O2_SI_145cm,Y1_SI_137cm,Y2_SI_141cm,Y2_SI_169cm,O1_LI_19cm,O1_LI_28cm,O2_LI_19cm,O2_LI_28cm,Y1_LI_19cm,Y1_LI_28cm,Y2_LI_19cm,Y2_LI_28cm,O1_SI_1cm,O1_SI_41cm,O2_SI_49cm,Y1_SI_29cm,Y2_SI_1cm,Y2_SI_29cm,QC1,QC2,QC3,QC4,QC5,QC6,QC7,QC8
Beta-Muricholic Acid(Beta-MCA),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Beta-Cholic Acid(3Beta-CA),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursocholic Acid(UCA),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allocholic Acid(ALCA),,0,0,73.98622057,225.2696293,0,0,199.6777407,54.54017217,100.6711198,0,0,109.4126008,87.5751053,18.44836319,0,0,0,0,44.27380621,44.22436862,0,0,0,0,0,0,0,0,0,0,0,0,64.586301,30.02762686,51.3111441,363.468676,0,0,92.9585955,49.24413648,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dehydrocholic Acid(DHCA),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-Ketolithocholic Acid(12-KLCA),,713.0938338,935.3307944,3793.976673,15660.74797,3896.300742,1086.653751,6822.114908,8487.167316,2557.853301,2729.347048,627.6878483,8924.642235,7767.829022,2257.985542,2116.750262,3267.064353,1173.097419,767.4312783,5308.314954,1957.732562,0,0,0,0,2981.91166,11831.24527,0,0,617.1853294,83.72000067,157.2151693,48.14605931,4279.059217,2686.809028,785.8298757,27750.65693,1988.579495,1319.24583,9975.694858,2958.53505,0,0,0,72.5679742,170.1844697,303.4046573,3387.431154,3467.285152,3274.035608,3233.73556,3333.445326,3175.824741,3223.085031,3325.492901
3-oxodeoxycholic acid,,134.7884081,176.0928845,924.8124337,5491.35011,641.6472103,198.7486892,2992.460596,3977.038889,599.3976278,671.2675117,146.0909253,2131.13614,3230.354751,901.1376821,358.944321,1306.755084,312.7162136,258.4674834,2227.909272,2485.520413,0,0,0,0,0,632.4765307,0,0,0,6.126887131,0,0,1371.038479,520.903507,198.6405722,11586.18997,338.9517939,225.0196199,5460.364552,1185.49557,0,0,0,0,0,0,1023.051785,1104.073543,1089.496863,1081.384287,974.5237182,1057.919626,1055.353583,1055.972138
12-Oxochenodeoxycholic acid,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7772055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7-Ketodeoxycholic acid,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.1417635,402.2509628,0,0,111.324755,0,0,0,0,0,0,0,0,0,105.1694544,0,0,0,0,41.59836965,0,39.2629193,0,0,0,0,0,0,0,0
3-Oxocholic acid,,0,215.8611791,145.7568439,305.7007117,691.1454013,788.5269216,1110.116359,392.8204413,1533.315335,633.1030247,333.3065696,219.4518166,385.8844206,248.1921197,617.3688767,1237.275798,745.84953,206.0056034,430.8543549,520.9852663,0,0,0,0,178.9402936,793.4448708,0,0,0,0,0,0,634.5688946,489.7919886,352.3703591,515.6672738,501.2705294,738.0173861,642.3128456,207.296911,0,0,0,126.2624295,0,0,436.8600452,344.9658765,298.9188391,367.4845113,340.1528261,403.1794826,363.4142883,340.8515945
