name	O1_Tg_F_Th	O2_Tg_TR	Y1_Th_TG_f	Y2_Tg_TR	O1_E_1cm	O1_E_5cm	O2_E_1cm	O2_E_5cm	Y1_E_1cm	Y1_E_5cm	Y2_E_1cm	Y2_E_5cm	O1_S_1	O1_S_3	O2_S_1	O2_S_3	Y1_S_1	Y1_S_3	Y2_S_1	Y2_S_3	O1_SI_161cm	O1_SI_1cm	O1_SI_201cm	O1_SI_41cm	O1_SI_81cm	O2_SI_121cm	O2_SI_145cm	O2_SI_49cm	Y1_SI_113cm	Y1_SI_137cm	Y1_SI_29cm	Y1_SI_85cm	Y2_SI_113cm	Y2_SI_141cm	Y2_SI_169cm	Y2_SI_1cm	Y2_SI_29cm	Y2_SI_57cm	O1_LI_10cm	O1_LI_19cm	O1_LI_1cm	O1_LI_28cm	O1_LI_37cm	O1_LI_46cm	O1_LI_55cm	O2_LI_10cm	O2_LI_19cm	O2_LI_1cm	O2_LI_28cm	O2_LI_37cm	O2_LI_46cm	O2_LI_55cm	Y1_LI_10cm	Y1_LI_19cm	Y1_LI_1cm	Y1_LI_28cm	Y1_LI_37cm	Y1_LI_46cm	Y1_LI_55cm	Y2_LI_10cm	Y2_LI_19cm	Y2_LI_1cm	Y2_LI_28cm	Y2_LI_37cm	Y2_LI_46cm	Y2_LI_55cm
Clostridium acetobutylicum	1.00E-05	1.00E-05	0	0	0	0	0	0	0.0001	9.00E-05	0	0	2.00E-05	0	2.00E-05	2.00E-05	5.00E-05	4.00E-05	1.00E-05	2.00E-05	2.00E-05	3.00E-05	0	0	4.00E-05	0.00041	8.00E-05	4.00E-05	0	5.00E-05	0	0	4.00E-05	1.00E-05	3.00E-05	0	0	2.00E-05	2.00E-05	2.00E-05	4.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	3.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	3.00E-05	3.00E-05	9.00E-05	0.00013	4.00E-05	0.00017	0.00013	0.00014	0.00012	3.00E-05	4.00E-05	3.00E-05	4.00E-05	4.00E-05	3.00E-05	4.00E-05
Clostridium argentinense	2.00E-05	2.00E-05	0	0	0	0	0	8.00E-05	0.00013	8.00E-05	6.00E-05	0	4.00E-05	0	2.00E-05	3.00E-05	7.00E-05	7.00E-05	5.00E-05	4.00E-05	5.00E-05	7.00E-05	7.00E-05	7.00E-05	4.00E-05	0.0006	0.00014	5.00E-05	0	4.00E-05	0.00013	0	0.00012	0.00022	0.00051	4.00E-05	6.00E-05	7.00E-05	4.00E-05	4.00E-05	5.00E-05	4.00E-05	3.00E-05	4.00E-05	3.00E-05	4.00E-05	3.00E-05	3.00E-05	3.00E-05	3.00E-05	5.00E-05	5.00E-05	0.00015	0.00018	3.00E-05	0.00023	0.00021	0.00022	0.00019	6.00E-05	8.00E-05	5.00E-05	8.00E-05	8.00E-05	7.00E-05	8.00E-05
Clostridium autoethanogenum	1.00E-05	1.00E-05	0	0	0	0	0	0	0	0	0	0	2.00E-05	0	0	1.00E-05	3.00E-05	0	0	0	0	0	0	0	0	0.00017	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	3.00E-05	6.00E-05	1.00E-05	7.00E-05	6.00E-05	6.00E-05	7.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	6.00E-05	6.00E-05	3.00E-05
Clostridium bovifaecis	1.00E-05	2.00E-05	0	0	0	0	0	7.00E-05	9.00E-05	9.00E-05	0	0	2.00E-05	0	2.00E-05	3.00E-05	2.00E-05	3.00E-05	2.00E-05	2.00E-05	3.00E-05	0	3.00E-05	4.00E-05	3.00E-05	0.00036	8.00E-05	3.00E-05	0	3.00E-05	0	0	2.00E-05	2.00E-05	2.00E-05	0	0	3.00E-05	3.00E-05	3.00E-05	4.00E-05	3.00E-05	3.00E-05	3.00E-05	3.00E-05	2.00E-05	3.00E-05	3.00E-05	2.00E-05	2.00E-05	3.00E-05	4.00E-05	0.00013	0.00011	5.00E-05	0.00014	0.00012	0.00012	0.0001	3.00E-05	3.00E-05	4.00E-05	4.00E-05	4.00E-05	3.00E-05	4.00E-05
Clostridium carboxidivorans	1.00E-05	1.00E-05	0	0	0	0	0	0	8.00E-05	0.0001	0	0	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	2.00E-05	1.00E-05	1.00E-05	3.00E-05	2.00E-05	0	0	3.00E-05	0.0002	3.00E-05	0	0	2.00E-05	0	0	2.00E-05	1.00E-05	4.00E-05	0	0	2.00E-05	2.00E-05	2.00E-05	4.00E-05	2.00E-05	1.00E-05	2.00E-05	2.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	2.00E-05	2.00E-05	4.00E-05	5.00E-05	1.00E-05	7.00E-05	6.00E-05	6.00E-05	6.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	3.00E-05	2.00E-05	3.00E-05
Clostridium cellulovorans	1.00E-05	2.00E-05	0	0	0	0	0	7.00E-05	8.00E-05	7.00E-05	7.00E-05	0	3.00E-05	0	2.00E-05	2.00E-05	3.00E-05	2.00E-05	2.00E-05	2.00E-05	5.00E-05	4.00E-05	5.00E-05	5.00E-05	4.00E-05	0.00047	0.00011	4.00E-05	0	2.00E-05	0	0	6.00E-05	3.00E-05	4.00E-05	0	5.00E-05	3.00E-05	4.00E-05	4.00E-05	3.00E-05	4.00E-05	4.00E-05	4.00E-05	4.00E-05	4.00E-05	3.00E-05	3.00E-05	3.00E-05	3.00E-05	4.00E-05	5.00E-05	0.00011	0.00016	2.00E-05	0.00021	0.00017	0.00019	0.00017	3.00E-05	5.00E-05	4.00E-05	5.00E-05	5.00E-05	5.00E-05	5.00E-05
Clostridium cochlearium	1.00E-05	2.00E-05	0	0	0	0	0	0	0.00015	0.0001	0	0	2.00E-05	0	2.00E-05	3.00E-05	4.00E-05	5.00E-05	1.00E-05	1.00E-05	0	5.00E-05	2.00E-05	2.00E-05	2.00E-05	0.0003	7.00E-05	4.00E-05	0	3.00E-05	0	0	2.00E-05	1.00E-05	2.00E-05	0	0	2.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	1.00E-05	2.00E-05	2.00E-05	3.00E-05	7.00E-05	0.0001	2.00E-05	0.00012	0.0001	0.00011	9.00E-05	2.00E-05	3.00E-05	2.00E-05	3.00E-05	4.00E-05	3.00E-05	3.00E-05
Clostridium diolis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00E-05	0	1.00E-05	0	0	0	0	0	0	0	0	0	3.00E-05	0	0	0	0	0	0	0	0	1.00E-05	1.00E-05	6.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	3.00E-05	4.00E-05	2.00E-05	3.00E-05	1.00E-05	1.00E-05	1.00E-05	2.00E-05	2.00E-05	4.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
Clostridium disporicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00677	0.00104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00011	6.00E-05	2.00E-05	6.00E-05	6.00E-05	2.00E-05	2.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	0	0	0	0	0	0	0
Clostridium drakei	1.00E-05	1.00E-05	0	0	0	0	0	0	0	0	0	0	2.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	2.00E-05	3.00E-05	0	0	0	0.00015	5.00E-05	0	0	2.00E-05	0	0	3.00E-05	2.00E-05	3.00E-05	0	0	1.00E-05	2.00E-05	2.00E-05	3.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	2.00E-05	2.00E-05	5.00E-05	7.00E-05	1.00E-05	9.00E-05	7.00E-05	8.00E-05	6.00E-05	2.00E-05	3.00E-05	1.00E-05	3.00E-05	3.00E-05	2.00E-05	3.00E-05
Clostridium fallax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	1.00E-05	1.00E-05	0	0	0	0	0	0	0	0	0	7.00E-05	0.00018	1.00E-05	0.00024	0.00017	0.00019	0.00016	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
Clostridium felsineum	1.00E-05	3.00E-05	7.00E-05	5.00E-05	0	0	0	0	0.00013	8.00E-05	9.00E-05	0	3.00E-05	0	2.00E-05	4.00E-05	6.00E-05	5.00E-05	3.00E-05	3.00E-05	5.00E-05	0.0001	5.00E-05	5.00E-05	5.00E-05	0.00042	0.0001	4.00E-05	0	6.00E-05	0.00014	0	9.00E-05	4.00E-05	8.00E-05	3.00E-05	6.00E-05	5.00E-05	4.00E-05	5.00E-05	0.00012	4.00E-05	3.00E-05	4.00E-05	4.00E-05	4.00E-05	4.00E-05	4.00E-05	3.00E-05	3.00E-05	4.00E-05	5.00E-05	0.00022	0.00024	7.00E-05	0.00031	0.00026	0.00027	0.00024	6.00E-05	8.00E-05	7.00E-05	7.00E-05	8.00E-05	7.00E-05	7.00E-05
Clostridium fermenticellae	1.00E-05	2.00E-05	0	0	0	0	0	0	0.00015	0.00015	0	0	3.00E-05	0	3.00E-05	3.00E-05	4.00E-05	5.00E-05	1.00E-05	1.00E-05	0	5.00E-05	3.00E-05	0	3.00E-05	0.00022	6.00E-05	0	0	3.00E-05	0	0	3.00E-05	1.00E-05	2.00E-05	0	0	2.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	2.00E-05	1.00E-05	2.00E-05	2.00E-05	2.00E-05	3.00E-05	3.00E-05	7.00E-05	0.00012	2.00E-05	0.00014	0.00012	0.00013	0.00012	1.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05
Clostridium formicaceticum	1.00E-05	2.00E-05	0	0	0	0	0	0	0	7.00E-05	0	0	2.00E-05	0	1.00E-05	1.00E-05	4.00E-05	4.00E-05	0	0	3.00E-05	4.00E-05	4.00E-05	3.00E-05	3.00E-05	4.00E-05	2.00E-05	0	0	2.00E-05	0	0	1.00E-05	0	1.00E-05	0	3.00E-05	1.00E-05	2.00E-05	2.00E-05	9.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	1.00E-05	2.00E-05	2.00E-05	1.00E-05	1.00E-05	2.00E-05	3.00E-05	8.00E-05	5.00E-05	3.00E-05	5.00E-05	5.00E-05	5.00E-05	4.00E-05	2.00E-05	3.00E-05	2.00E-05	3.00E-05	3.00E-05	2.00E-05	3.00E-05
Clostridium gelidum	2.00E-05	3.00E-05	0	6.00E-05	0	0	0	0.0001	0.00026	0.0001	0.00012	0	2.00E-05	0	2.00E-05	3.00E-05	6.00E-05	6.00E-05	4.00E-05	4.00E-05	6.00E-05	8.00E-05	7.00E-05	4.00E-05	8.00E-05	0.00097	0.00022	5.00E-05	0	4.00E-05	0.00018	0	8.00E-05	2.00E-05	7.00E-05	3.00E-05	4.00E-05	5.00E-05	4.00E-05	4.00E-05	6.00E-05	5.00E-05	4.00E-05	4.00E-05	4.00E-05	5.00E-05	4.00E-05	3.00E-05	4.00E-05	4.00E-05	4.00E-05	4.00E-05	0.00018	0.00031	3.00E-05	0.0004	0.00033	0.00037	0.00029	6.00E-05	7.00E-05	8.00E-05	9.00E-05	9.00E-05	8.00E-05	9.00E-05
Clostridium ljungdahlii	1.00E-05	1.00E-05	0	0	0	0	0	0	0	0	0	0	2.00E-05	0	2.00E-05	1.00E-05	7.00E-05	6.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00E-05	1.00E-05	2.00E-05	1.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	1.00E-05	1.00E-05	0	1.00E-05	0	0	0	2.00E-05	3.00E-05	0	3.00E-05	4.00E-05	4.00E-05	6.00E-05	1.00E-05	1.00E-05	2.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
Clostridium manihotivorum	1.00E-05	3.00E-05	0	5.00E-05	0	0	0	7.00E-05	0.00012	9.00E-05	6.00E-05	0	2.00E-05	0	3.00E-05	3.00E-05	3.00E-05	4.00E-05	3.00E-05	3.00E-05	4.00E-05	0.00012	8.00E-05	3.00E-05	7.00E-05	0.001	0.00018	8.00E-05	0	3.00E-05	0.00024	0	8.00E-05	4.00E-05	8.00E-05	5.00E-05	5.00E-05	4.00E-05	4.00E-05	4.00E-05	3.00E-05	4.00E-05	4.00E-05	4.00E-05	4.00E-05	5.00E-05	4.00E-05	4.00E-05	4.00E-05	4.00E-05	5.00E-05	5.00E-05	0.00018	0.00026	3.00E-05	0.00035	0.00029	0.00031	0.00026	5.00E-05	7.00E-05	7.00E-05	7.00E-05	8.00E-05	6.00E-05	6.00E-05
Clostridium novyi	1.00E-05	2.00E-05	0	0	0	0	0	0.00021	0.00015	6.00E-05	0	0	2.00E-05	0	2.00E-05	2.00E-05	3.00E-05	3.00E-05	3.00E-05	3.00E-05	3.00E-05	3.00E-05	5.00E-05	8.00E-05	3.00E-05	0.00077	0.00014	0.00011	0	2.00E-05	0	0	9.00E-05	3.00E-05	7.00E-05	4.00E-05	8.00E-05	3.00E-05	4.00E-05	4.00E-05	5.00E-05	4.00E-05	3.00E-05	4.00E-05	4.00E-05	0.00012	6.00E-05	0.00011	9.00E-05	9.00E-05	4.00E-05	4.00E-05	0.00014	0.00018	3.00E-05	0.00024	0.00019	0.0002	0.00015	4.00E-05	7.00E-05	5.00E-05	6.00E-05	9.00E-05	5.00E-05	7.00E-05
Clostridium scatologenes	1.00E-05	2.00E-05	0	0	0	0	0	0	0.0001	0.00011	0	0	2.00E-05	0	1.00E-05	1.00E-05	2.00E-05	2.00E-05	1.00E-05	1.00E-05	0	0	0	0	0	0.00014	3.00E-05	3.00E-05	0	1.00E-05	0	0	2.00E-05	0	3.00E-05	0	0	1.00E-05	1.00E-05	2.00E-05	1.00E-05	1.00E-05	1.00E-05	2.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	2.00E-05	2.00E-05	6.00E-05	7.00E-05	1.00E-05	9.00E-05	7.00E-05	8.00E-05	8.00E-05	1.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05
Clostridium sp. 'deep sea'	1.00E-05	2.00E-05	0	0	0	0	0	0	0	0	0	0	2.00E-05	0	2.00E-05	3.00E-05	2.00E-05	1.00E-05	0	0	0	0	0	0	0	4.00E-05	2.00E-05	2.00E-05	0	1.00E-05	0	0	2.00E-05	0	1.00E-05	0	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	3.00E-05	3.00E-05	6.00E-05	4.00E-05	1.00E-05	5.00E-05	5.00E-05	5.00E-05	5.00E-05	1.00E-05	2.00E-05	1.00E-05	1.00E-05	2.00E-05	1.00E-05	2.00E-05
Clostridium sp. 001	2.00E-05	2.00E-05	0	0	0	0	0	0	0	0	0	0	2.00E-05	0	2.00E-05	2.00E-05	2.00E-05	1.00E-05	1.00E-05	1.00E-05	9.00E-05	6.00E-05	8.00E-05	0.0001	0.0001	0.00012	7.00E-05	0	0	5.00E-05	0	0	5.00E-05	5.00E-05	2.00E-05	9.00E-05	9.00E-05	4.00E-05	8.00E-05	0.00012	4.00E-05	0.0001	0.0001	8.00E-05	9.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	2.00E-05	2.00E-05	4.00E-05	7.00E-05	3.00E-05	0.0001	7.00E-05	8.00E-05	6.00E-05	3.00E-05	3.00E-05	3.00E-05	4.00E-05	4.00E-05	3.00E-05	4.00E-05
Clostridium sp. AWRP	1.00E-05	2.00E-05	0	0	0	0	0	0	0.0002	0.00015	0	0	1.00E-05	0	1.00E-05	2.00E-05	4.00E-05	7.00E-05	1.00E-05	1.00E-05	0	5.00E-05	0	0	0	0.00024	2.00E-05	0	0	2.00E-05	0	0	3.00E-05	0	1.00E-05	0	0	2.00E-05	2.00E-05	3.00E-05	4.00E-05	2.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	2.00E-05	2.00E-05	6.00E-05	8.00E-05	1.00E-05	0.0001	8.00E-05	9.00E-05	8.00E-05	2.00E-05	2.00E-05	2.00E-05	3.00E-05	3.00E-05	2.00E-05	2.00E-05
Clostridium sp. BJN0013	2.00E-05	1.00E-05	0	0	0	0	0	0	8.00E-05	0	8.00E-05	0	2.00E-05	0	2.00E-05	3.00E-05	3.00E-05	3.00E-05	1.00E-05	1.00E-05	0	4.00E-05	3.00E-05	0	0	0.0001	4.00E-05	2.00E-05	0	2.00E-05	0	0	2.00E-05	1.00E-05	1.00E-05	0	0	2.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	1.00E-05	2.00E-05	2.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	2.00E-05	3.00E-05	3.00E-05	6.00E-05	9.00E-05	1.00E-05	0.0001	9.00E-05	9.00E-05	9.00E-05	2.00E-05	2.00E-05	1.00E-05	2.00E-05	3.00E-05	3.00E-05	3.00E-05
Clostridium sp. BNL1100	1.00E-05	1.00E-05	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	1.00E-05	2.00E-05	2.00E-05	1.00E-05	0	0	2.00E-05	2.00E-05	2.00E-05	2.00E-05	0	6.00E-05	2.00E-05	0	0	2.00E-05	0	0	2.00E-05	0	0	0	3.00E-05	1.00E-05	2.00E-05	2.00E-05	3.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	1.00E-05	2.00E-05	3.00E-05	4.00E-05	9.00E-05	6.00E-05	1.00E-05	5.00E-05	6.00E-05	6.00E-05	6.00E-05	2.00E-05	3.00E-05	1.00E-05	3.00E-05	3.00E-05	3.00E-05	3.00E-05
Clostridium sp. C1	2.00E-05	3.00E-05	0	0	0	0	0	0.00034	0	0	0	0	1.00E-05	0	1.00E-05	2.00E-05	5.00E-05	2.00E-05	0	1.00E-05	0.00035	0.0001	0.0002	0.00023	0.00028	0.00011	0.0001	0.00012	0	3.00E-05	0	0	0.00022	0.00013	6.00E-05	0.00032	0.00029	9.00E-05	0.00024	0.0003	0.00011	0.00032	0.0003	0.00043	0.00032	7.00E-05	5.00E-05	0.00013	6.00E-05	9.00E-05	0.00025	0.00033	0.00052	0.00044	2.00E-05	0.00044	0.00044	0.00057	0.00081	0.00014	0.0002	6.00E-05	0.00015	0.00022	0.00023	0.00025
Clostridium sp. CF011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00E-05	0	0	0	0	5.00E-05	0	0	0	1.00E-05	1.00E-05	3.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	1.00E-05	5.00E-05	6.00E-05	1.00E-05	6.00E-05	5.00E-05	5.00E-05	5.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	1.00E-05	1.00E-05
Clostridium sp. CM027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	1.00E-05	0	1.00E-05	1.00E-05	0	0	0	0	2.00E-05	2.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
Clostridium sp. CM028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	0	1.00E-05	0	0	0	0	0	0	2.00E-05	0	0	0	2.00E-05	0	0	0	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05
Clostridium sp. JN-1	1.00E-05	2.00E-05	0	0	0	0	0	0	8.00E-05	0.0001	0	0	2.00E-05	0	2.00E-05	3.00E-05	4.00E-05	5.00E-05	2.00E-05	2.00E-05	2.00E-05	3.00E-05	3.00E-05	0	3.00E-05	0.0003	6.00E-05	4.00E-05	0	2.00E-05	0	0	4.00E-05	2.00E-05	4.00E-05	4.00E-05	3.00E-05	3.00E-05	2.00E-05	3.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	3.00E-05	4.00E-05	9.00E-05	0.00011	2.00E-05	0.00015	0.00012	0.00013	0.00011	3.00E-05	4.00E-05	3.00E-05	4.00E-05	4.00E-05	3.00E-05	3.00E-05
Clostridium sp. JN-9	1.00E-05	2.00E-05	0	4.00E-05	0	0	0	0	5.00E-05	0	0	0	2.00E-05	0	1.00E-05	2.00E-05	3.00E-05	4.00E-05	1.00E-05	1.00E-05	4.00E-05	6.00E-05	4.00E-05	2.00E-05	5.00E-05	0.00034	6.00E-05	4.00E-05	0	2.00E-05	0	0	3.00E-05	1.00E-05	3.00E-05	4.00E-05	0	2.00E-05	3.00E-05	3.00E-05	2.00E-05	3.00E-05	3.00E-05	3.00E-05	2.00E-05	3.00E-05	2.00E-05	3.00E-05	2.00E-05	2.00E-05	4.00E-05	5.00E-05	0.00014	0.00014	3.00E-05	0.00017	0.00015	0.00016	0.00014	4.00E-05	5.00E-05	3.00E-05	5.00E-05	5.00E-05	5.00E-05	5.00E-05
Clostridium sp. JS66	1.00E-05	1.00E-05	0	0	0	0	0	0	0.00011	8.00E-05	0	0	1.00E-05	0	2.00E-05	1.00E-05	2.00E-05	3.00E-05	1.00E-05	1.00E-05	5.00E-05	0	8.00E-05	6.00E-05	5.00E-05	0.00025	5.00E-05	3.00E-05	0	3.00E-05	0	0	2.00E-05	2.00E-05	2.00E-05	5.00E-05	4.00E-05	2.00E-05	5.00E-05	7.00E-05	8.00E-05	6.00E-05	5.00E-05	4.00E-05	5.00E-05	2.00E-05	3.00E-05	2.00E-05	2.00E-05	2.00E-05	3.00E-05	3.00E-05	8.00E-05	6.00E-05	3.00E-05	6.00E-05	6.00E-05	6.00E-05	5.00E-05	4.00E-05	4.00E-05	4.00E-05	4.00E-05	4.00E-05	3.00E-05	3.00E-05
Clostridium sp. LQ25	0	0	0	0	0	0	0	0	0	0	0	0	2.00E-05	0	0	0	0	1.00E-05	0	1.00E-05	0	0	0	0	0	0	0	0	0	2.00E-05	0	0	7.00E-05	0.00011	9.00E-05	0	0	8.00E-05	1.00E-05	2.00E-05	6.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	2.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.00017	0.00041	5.00E-05	0.00059	0.00046	0.00055	0.00043	5.00E-05	4.00E-05	6.00E-05	5.00E-05	4.00E-05	4.00E-05	4.00E-05
Clostridium sp. MB40-C1	2.00E-05	2.00E-05	0	0	0	0	0	0.0001	0.00015	9.00E-05	0.00015	0	3.00E-05	0	2.00E-05	3.00E-05	4.00E-05	4.00E-05	3.00E-05	2.00E-05	5.00E-05	8.00E-05	7.00E-05	7.00E-05	6.00E-05	0.00039	8.00E-05	4.00E-05	0	3.00E-05	0.00014	0	6.00E-05	4.00E-05	4.00E-05	4.00E-05	8.00E-05	4.00E-05	4.00E-05	4.00E-05	7.00E-05	4.00E-05	4.00E-05	4.00E-05	4.00E-05	3.00E-05	3.00E-05	3.00E-05	3.00E-05	2.00E-05	4.00E-05	4.00E-05	0.00019	0.00021	4.00E-05	0.00026	0.00023	0.00024	0.00019	5.00E-05	6.00E-05	5.00E-05	7.00E-05	6.00E-05	5.00E-05	5.00E-05
Clostridium sp. MF28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	0	0	0	0	0	0	1.00E-05	1.00E-05	1.00E-05	2.00E-05	2.00E-05	2.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	0	2.00E-05	1.00E-05	2.00E-05	2.00E-05	2.00E-05	1.00E-05	2.00E-05	1.00E-05	2.00E-05	3.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05
Clostridium sp. enrichment culture clone 7-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00E-05	2.00E-05	2.00E-05	2.00E-05	1.00E-05	2.00E-05	1.00E-05	0	0	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	2.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	2.00E-05	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05
Clostridium sp. enrichment culture clone 7-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	1.00E-05	1.00E-05	0	1.00E-05	0	0	0	0	0	1.00E-05	1.00E-05	1.00E-05	2.00E-05	0	1.00E-05	2.00E-05	1.00E-05	2.00E-05	0	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05
Clostridium tagluense	1.00E-05	3.00E-05	0	0	0	0	0	0	0.0001	9.00E-05	0	0	2.00E-05	0	3.00E-05	2.00E-05	4.00E-05	5.00E-05	2.00E-05	2.00E-05	2.00E-05	4.00E-05	4.00E-05	3.00E-05	0	0.00045	9.00E-05	3.00E-05	0	4.00E-05	0	0	5.00E-05	3.00E-05	4.00E-05	4.00E-05	4.00E-05	2.00E-05	2.00E-05	3.00E-05	4.00E-05	3.00E-05	2.00E-05	3.00E-05	2.00E-05	3.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	3.00E-05	4.00E-05	0.00011	0.00013	3.00E-05	0.00016	0.00015	0.00016	0.00015	3.00E-05	5.00E-05	3.00E-05	5.00E-05	6.00E-05	4.00E-05	5.00E-05
Clostridium tetani	2.00E-05	3.00E-05	0	0	0	0	0	0	0.00011	7.00E-05	6.00E-05	0	4.00E-05	0	4.00E-05	3.00E-05	5.00E-05	5.00E-05	3.00E-05	2.00E-05	4.00E-05	5.00E-05	5.00E-05	4.00E-05	5.00E-05	0.00048	0.00012	7.00E-05	0	4.00E-05	0.00014	0	8.00E-05	5.00E-05	0.00012	4.00E-05	3.00E-05	6.00E-05	4.00E-05	4.00E-05	7.00E-05	5.00E-05	4.00E-05	4.00E-05	4.00E-05	4.00E-05	4.00E-05	4.00E-05	3.00E-05	3.00E-05	6.00E-05	7.00E-05	0.00018	0.00017	5.00E-05	0.0002	0.00018	0.00019	0.00016	5.00E-05	6.00E-05	5.00E-05	6.00E-05	6.00E-05	5.00E-05	6.00E-05
