name	O1_Tg_F_Th	O2_Tg_TR	Y1_Th_TG_f	Y2_Tg_TR	O1_E_1cm	O1_E_5cm	O2_E_1cm	O2_E_5cm	Y1_E_1cm	Y1_E_5cm	Y2_E_1cm	Y2_E_5cm	O1_S_1	O1_S_3	O2_S_1	O2_S_3	Y1_S_1	Y1_S_3	Y2_S_1	Y2_S_3	O1_SI_161cm	O1_SI_1cm	O1_SI_201cm	O1_SI_41cm	O1_SI_81cm	O2_SI_121cm	O2_SI_145cm	O2_SI_49cm	Y1_SI_113cm	Y1_SI_137cm	Y1_SI_29cm	Y1_SI_85cm	Y2_SI_113cm	Y2_SI_141cm	Y2_SI_169cm	Y2_SI_1cm	Y2_SI_29cm	Y2_SI_57cm	O1_LI_10cm	O1_LI_19cm	O1_LI_1cm	O1_LI_28cm	O1_LI_37cm	O1_LI_46cm	O1_LI_55cm	O2_LI_10cm	O2_LI_19cm	O2_LI_1cm	O2_LI_28cm	O2_LI_37cm	O2_LI_46cm	O2_LI_55cm	Y1_LI_10cm	Y1_LI_19cm	Y1_LI_1cm	Y1_LI_28cm	Y1_LI_37cm	Y1_LI_46cm	Y1_LI_55cm	Y2_LI_10cm	Y2_LI_19cm	Y2_LI_1cm	Y2_LI_28cm	Y2_LI_37cm	Y2_LI_46cm	Y2_LI_55cm
Claveliimonas bilis	2.00E-05	5.00E-05	0.0002	0	0.0001	0	8.00E-05	0.00018	0.00011	0	0.00011	0	2.00E-05	0	2.00E-05	5.00E-05	0.0001	5.00E-05	1.00E-05	1.00E-05	0.00016	9.00E-05	0.00016	0.00013	0.00013	0.00011	0.00016	0.00015	0	0.0003	0.00015	0	8.00E-05	4.00E-05	6.00E-05	0.00011	0.00022	4.00E-05	0.00013	0.00014	0.00012	0.00015	0.00012	0.00014	0.00014	0.00015	0.00016	0.00014	0.00013	0.00016	0.00019	0.00024	0.00048	0.00032	0.0003	0.00029	0.00031	0.00033	0.00034	0.00017	0.00019	0.00012	0.00023	0.00027	0.00022	0.00026
Clostridiaceae bacterium M8S5	2.00E-05	2.00E-05	0	4.00E-05	9.00E-05	0.00013	5.00E-05	0.00015	0.00014	9.00E-05	8.00E-05	0	3.00E-05	0	2.00E-05	2.00E-05	3.00E-05	3.00E-05	1.00E-05	1.00E-05	0.0001	4.00E-05	0.00012	8.00E-05	9.00E-05	8.00E-05	5.00E-05	4.00E-05	0	5.00E-05	0	0	3.00E-05	1.00E-05	2.00E-05	0	0.0001	1.00E-05	5.00E-05	7.00E-05	0.00037	4.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	5.00E-05	6.00E-05	2.00E-05	2.00E-05	4.00E-05	5.00E-05	0.00045	0.00015	0.00018	0.00012	0.00016	0.0001	0.0001	0.00014	0.00012	0.00012	0.00012	6.00E-05	5.00E-05	3.00E-05
Clostridiaceae bacterium Marseille-Q4149	9.00E-05	0.00028	0.0012	0.00361	0.00105	0.0063	0.00056	0.00858	0.00504	0	0.0054	0	1.00E-05	0	2.00E-05	0.00016	8.00E-05	1.00E-05	0	0	0.00482	0.00877	0.00536	0.00458	0.00486	0.00326	0.00583	0.00674	0	0.00046	0.01267	0.0006	0.00382	0.0017	0.00122	0.00478	0.00488	0.00201	0.00481	0.0043	0.00523	0.00577	0.00377	0.00541	0.00494	0.00542	0.00624	0.00712	0.00494	0.0084	0.01549	0.02442	0.02383	0.03206	0.00206	0.02744	0.02744	0.02785	0.03834	0.00421	0.00571	0.00151	0.00697	0.00842	0.0083	0.00914
Clostridiales bacterium	0.00021	0.00086	0.00065	0.00226	0.00036	0.00809	0.00062	0.01394	0.00321	0.00046	0.00331	0.0007	8.00E-05	0	0.0002	0.0005	0.00053	0.0001	5.00E-05	4.00E-05	0.00409	0.00404	0.00395	0.00403	0.00376	0.0071	0.00579	0.04511	0	0.00043	0.00752	0	0.00249	0.00159	0.00061	0.00358	0.00341	0.00154	0.00426	0.00512	0.00294	0.00493	0.00348	0.00454	0.00417	0.00775	0.01263	0.01918	0.01134	0.02212	0.21357	0.17185	0.02998	0.01625	0.00079	0.01456	0.01491	0.01468	0.01423	0.00186	0.00273	0.00079	0.00337	0.00422	0.00379	0.00451
Clostridioides difficile	0.00011	0.00031	0.00023	0.00025	0.00015	0	0.00011	0.00053	0.0006	0.00034	0.00043	0	0.00024	0.00027	0.00013	0.00029	0.00046	0.00032	0.00016	0.00012	0.00044	0.00036	0.00045	0.00046	0.00046	0.00096	0.00077	0.00044	0	0.00031	0.00075	0	0.00035	0.00022	0.00021	0.00039	0.0004	0.00018	0.0005	0.0005	0.00043	0.00051	0.00041	0.00048	0.00049	0.00033	0.00038	0.00039	0.00031	0.00041	0.0008	0.00092	0.00127	0.00121	0.00027	0.00114	0.0013	0.00119	0.00164	0.00028	0.00041	0.00023	0.00048	0.00053	0.00051	0.00055
Clostridium botulinum	9.00E-05	0.00028	0.00028	0.00031	0.00033	0.001	0.00018	0.00087	0.00101	0.00058	0.00037	0	0.00017	0.00025	0.00014	0.00031	0.0003	0.00027	0.0002	0.00019	0.00039	0.00038	0.00038	0.00034	0.0005	0.00476	0.00097	0.00037	0	0.00022	0.0007	0.00046	0.00056	0.00028	0.00045	0.00033	0.0004	0.0003	0.00027	0.00035	0.00031	0.00033	0.0003	0.0003	0.00028	0.0003	0.00022	0.00021	0.00023	0.00024	0.00026	0.00029	0.00166	0.00163	0.00025	0.00196	0.00177	0.00185	0.00147	0.00034	0.00045	0.00036	0.00048	0.00051	0.00042	0.00045
Clostridium estertheticum	5.00E-05	5.00E-05	9.00E-05	9.00E-05	0.0001	0.00025	5.00E-05	0.00019	0.00022	0.00011	0.00028	0	8.00E-05	8.00E-05	9.00E-05	0.0001	0.0001	8.00E-05	5.00E-05	5.00E-05	0.00015	0.00016	0.00011	0.00012	0.00012	0.00081	0.00019	0.00011	0	0.00012	0.00028	0	0.00014	8.00E-05	0.00014	0.0001	0.00013	9.00E-05	9.00E-05	0.00011	0.00019	0.0001	7.00E-05	9.00E-05	8.00E-05	9.00E-05	9.00E-05	0.0001	8.00E-05	9.00E-05	0.00013	0.00016	0.00057	0.00044	0.00015	0.00048	0.00047	0.00047	0.00042	0.00014	0.00017	0.00013	0.00016	0.00018	0.00015	0.00015
Clostridium perfringens	0.00015	0.00012	0.00041	0.00053	0.0004	0.0009	0.00019	0.00063	0.00136	0.001	0.00031	0	0.00019	0.00016	0.00019	0.00017	0.00036	0.00037	0.00036	0.00031	0.00039	0.0008	0.00036	0.00035	0.00038	0.00832	0.00153	0.00054	0	0.00021	0.00056	0	0.0012	0.00093	0.0014	0.00029	0.00042	0.00074	0.00031	0.00032	0.00038	0.00036	0.00028	0.00032	0.00031	0.00044	0.00031	0.00031	0.00032	0.00038	0.00037	0.00049	0.0011	0.00129	0.00028	0.00157	0.00143	0.00149	0.0014	0.00037	0.00046	0.00051	0.00051	0.00056	0.00044	0.00047
Collinsella aerofaciens	1.00E-05	5.00E-05	0.0011	0.0001	0.00067	0.00033	0.00059	0.00482	0.00025	0	0.00039	0	2.00E-05	0	1.00E-05	5.00E-05	0.0002	3.00E-05	1.00E-05	1.00E-05	0.00248	0.00042	0.00263	0.0026	0.00249	0.00117	0.00123	0.00253	0.00092	0.00308	0.00086	0.00102	0.00075	0.00074	0.00023	0.00174	0.00221	0.00056	0.00354	0.00228	0.00426	0.00261	0.00209	0.00184	0.00247	0.00279	0.00738	0.00102	0.00152	0.00239	0.00175	0.00362	0.0004	0.00054	0.00174	0.00058	0.0005	0.00055	0.00061	0.00043	0.00041	0.00085	0.00121	0.00073	0.00059	0.00079
Colwellia sp. M166	2.00E-05	2.00E-05	0	0.00013	0.00016	0	0	0	0.00025	0.00019	0	0	1.00E-05	0	3.00E-05	3.00E-05	2.00E-05	8.00E-05	2.00E-05	1.00E-05	7.00E-05	0.0001	0	0	0	0	0.0001	7.00E-05	0.00051	1.00E-05	0	0	0	0	0	0.00015	0	1.00E-05	1.00E-05	2.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	4.00E-05	2.00E-05	4.00E-05	4.00E-05	4.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	2.00E-05	1.00E-05	1.00E-05	0	2.00E-05	4.00E-05	1.00E-05	3.00E-05	5.00E-05	3.00E-05	3.00E-05
