name	O1_E_1cm	O1_E_5cm	O1_K_1	O1_LI_10cm	O1_LI_19cm	O1_LI_1cm	O1_LI_28cm	O1_LI_37cm	O1_LI_46cm	O1_LI_55cm	O1_S_1	O1_S_3	O1_SI_161cm	O1_SI_1cm	O1_SI_201cm	O1_SI_41cm	O1_SI_81cm	O1_Tg_F_Th	O2_E_1cm	O2_E_5cm	O2_K_1	O2_LI_10cm	O2_LI_19cm	O2_LI_1cm	O2_LI_28cm	O2_LI_37cm	O2_LI_46cm	O2_LI_55cm	O2_S_1	O2_S_3	O2_SI_121cm	O2_SI_145cm	O2_SI_49cm	O2_Tg_TR	Y1_E_1cm	Y1_E_5cm	Y1_K_1	Y1_LI_10cm	Y1_LI_19cm	Y1_LI_1cm	Y1_LI_28cm	Y1_LI_37cm	Y1_LI_46cm	Y1_LI_55cm	Y1_S_1	Y1_S_3	Y1_SI_113cm	Y1_SI_137cm	Y1_SI_29cm	Y1_SI_85cm	Y1_Th_TG_f	Y2_E_1cm	Y2_E_5cm	Y2_K_1	Y2_LI_10cm	Y2_LI_19cm	Y2_LI_1cm	Y2_LI_28cm	Y2_LI_37cm	Y2_LI_46cm	Y2_LI_55cm	Y2_S_1	Y2_S_3	Y2_SI_113cm	Y2_SI_141cm	Y2_SI_169cm	Y2_SI_1cm	Y2_SI_29cm	Y2_SI_57cm
Acidobacteriota	0.00039	0.0007	0.00076	0.00061	0.00074	0.00058	0.00074	0.00058	0.00068	0.00064	0.00025	0.00048	0.00064	0.00055	0.00069	0.00066	0.00069	0.00019	0.00051	0.0007	0.00128	0.00044	0.00051	0.00059	0.00052	0.00072	0.00157	0.00193	0.00037	0.00048	0.00037	0.00047	0.00065	0.00037	0.00068	0.00049	0.00061	0.00232	0.00135	0.00042	0.00127	0.00127	0.00119	0.00135	0.00048	0.00026	0.00114	0.00042	0.00072	0.00033	0.00042	0.00096	0.00079	0.00142	0.00079	0.00065	0.00033	0.00063	0.0009	0.00082	0.0007	0.00022	0.00015	0.00034	0.00027	0.00016	0.00067	0.00056	0.00022
Actinomycetota	0.01921	0.03922	0.01849	0.021	0.01946	0.02093	0.02033	0.01579	0.01717	0.01905	0.05933	0.07729	0.02613	0.03257	0.02156	0.01966	0.01823	0.01649	0.01479	0.04532	0.04011	0.01439	0.02454	0.01568	0.01313	0.01863	0.03956	0.04831	0.01177	0.02494	0.03062	0.02295	0.02624	0.08139	0.01688	0.01297	0.01986	0.03609	0.0359	0.01202	0.03353	0.03332	0.0318	0.03873	0.12666	0.03381	0.03507	0.01436	0.02943	0.02653	0.04338	0.03704	0.02747	0.03705	0.01099	0.01479	0.00828	0.01623	0.01858	0.01675	0.01721	0.01639	0.0133	0.01241	0.00984	0.00488	0.017	0.01766	0.01111
Bacillota	0.15108	0.19453	0.25132	0.28375	0.2726	0.27121	0.30179	0.26004	0.27065	0.27271	0.25842	0.32575	0.25388	0.23513	0.26537	0.28331	0.25952	0.12155	0.17147	0.31807	0.48473	0.2551	0.34752	0.2378	0.22587	0.27157	0.55479	0.57682	0.17001	0.19469	0.53668	0.37873	0.43764	0.31756	0.1996	0.13987	0.18175	0.41867	0.43232	0.32583	0.43321	0.44334	0.45005	0.51756	0.38513	0.3913	0.07144	0.28995	0.24797	0.07242	0.2653	0.27998	0.15777	0.48231	0.19103	0.21899	0.18213	0.28575	0.29248	0.23781	0.26483	0.73734	0.75363	0.69688	0.73386	0.81796	0.28736	0.3357	0.78043
Bacteroidota	0.23526	0.18707	0.54688	0.52043	0.43513	0.50202	0.4581	0.51972	0.52397	0.50937	0.30201	0.11154	0.51068	0.35653	0.47119	0.46724	0.48414	0.49687	0.15132	0.29919	0.25265	0.61466	0.49018	0.59732	0.62025	0.5666	0.18996	0.13761	0.29519	0.3522	0.27089	0.32861	0.40382	0.30853	0.17894	0.1198	0.03823	0.15357	0.17822	0.546	0.19056	0.19825	0.20419	0.17847	0.14755	0.05475	0.09701	0.57137	0.13749	0.08984	0.34551	0.18443	0.13979	0.2654	0.63115	0.52277	0.69584	0.50639	0.40987	0.52445	0.4911	0.02493	0.02403	0.18556	0.16956	0.12466	0.47828	0.44782	0.12617
Calditrichota	9e-05	0.0	0.0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.0	2e-05	2e-05	2e-05	0.0	0.0	1e-05	0.0	0.00012	0.0	1e-05	1e-05	1e-05	1e-05	1e-05	2e-05	2e-05	1e-05	1e-05	0.0	1e-05	5e-05	1e-05	0.0	0.0	0.0	4e-05	4e-05	1e-05	4e-05	4e-05	4e-05	3e-05	1e-05	1e-05	0.0	1e-05	0.00011	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.0	0.0	0.0	2e-05	0.0	0.0	1e-05
Campylobacterota	0.00302	0.03769	0.05008	0.04444	0.05064	0.01096	0.0074	0.04042	0.00495	0.00402	0.03048	0.06832	0.00913	0.03282	0.05101	0.04876	0.0492	0.01296	0.00218	0.0155	0.00998	0.00288	0.0422	0.00348	0.00469	0.00743	0.00393	0.06457	0.03674	0.05599	0.0026	0.02997	0.00549	0.00788	0.03478	0.00791	0.00199	0.07001	0.00462	0.00618	0.0042	0.00784	0.00544	0.00728	0.01254	0.00854	0.00251	0.03717	0.00456	0.0024	0.0282	0.03862	0.01164	0.00803	0.00889	0.00824	0.00453	0.00733	0.05419	0.05134	0.00583	0.00767	0.00587	0.00356	0.00301	0.00238	0.00623	0.00681	0.00285
Candidatus Cloacimonadota	0.00011	0.00019	0.00017	0.00016	0.00021	0.00023	0.00019	0.00016	0.00016	0.00015	9e-05	8e-05	0.0002	0.00018	0.00017	0.00017	0.00018	6e-05	8e-05	0.00017	0.00023	0.00011	0.00014	0.00014	0.00011	0.00013	0.00026	0.00029	0.00013	0.0002	0.00016	0.0001	0.00016	0.00014	0.00032	0.00025	9e-05	0.0005	0.00033	0.00015	0.00032	0.00033	0.0003	0.0003	0.00016	0.00015	0.0	0.00014	0.00019	0.0	0.00014	0.00027	0.0	0.0002	0.00015	0.00021	0.0001	0.00018	0.00023	0.00018	0.00019	4e-05	3e-05	8e-05	7e-05	4e-05	0.00014	0.00016	5e-05
Candidatus Saccharibacteria	0.00021	0.00054	0.0004	9e-05	0.00015	0.0002	0.00014	7e-05	8e-05	7e-05	0.00227	0.00338	0.0001	0.00064	0.00011	0.00026	0.00015	0.0009	0.00022	0.00108	0.00031	0.00014	0.00014	0.00021	0.00014	0.0002	0.00031	0.00031	0.00381	0.00391	0.01607	0.00294	0.00947	0.00485	0.00042	0.0003	0.00011	0.00017	0.00013	8e-05	0.00013	0.00012	0.00012	0.00013	0.01312	0.00327	0.0	7e-05	0.00046	0.0	0.0013	0.00178	0.00087	0.00042	7e-05	0.0001	4e-05	8e-05	0.00012	0.0001	9e-05	0.00042	0.00048	0.00033	0.00031	0.00021	0.00013	0.00016	0.00026
Chloroflexota	0.00046	0.00091	0.00095	0.00068	0.00079	0.00069	0.00079	0.00062	0.00072	0.00067	0.00045	0.00078	0.00071	0.00077	0.00081	0.00069	0.00069	0.00058	0.00047	0.00185	0.00187	0.00065	0.0007	0.00084	0.00073	0.00105	0.00199	0.00267	0.00052	0.00333	0.00153	0.0009	0.00153	0.00555	0.00106	0.00073	0.0007	0.00195	0.00182	0.00055	0.00175	0.00175	0.00167	0.00201	0.00677	0.00052	0.00087	0.00049	0.00107	0.00069	0.00098	0.00711	0.00119	0.00183	0.00063	0.00084	0.00041	0.00085	0.00134	0.00119	0.00097	0.00033	0.00028	0.00042	0.00034	0.00021	0.00077	0.00072	0.00028
Cyanobacteriota	0.0032	0.00363	0.00144	0.00154	0.00184	0.00214	0.00168	0.0016	0.00154	0.00145	0.00087	0.07005	0.00173	0.00139	0.00187	0.00187	0.00281	0.00054	0.00098	0.00249	0.00192	0.00099	0.0012	0.0013	0.00108	0.00124	0.00231	0.0025	0.00113	0.00131	0.00147	0.0014	0.00138	0.00129	0.00378	0.00438	0.00087	0.00414	0.00363	0.00171	0.00323	0.00361	0.00294	0.00294	0.00168	0.00144	0.00816	0.00203	0.00227	0.00455	0.00639	0.00288	0.00431	0.00206	0.00152	0.00193	0.00112	0.0017	0.00221	0.00193	0.00186	0.00059	0.00047	0.00096	0.0007	0.0007	0.00154	0.00152	0.00059
Deinococcota	0.00013	0.0002	0.00025	0.00017	0.00019	0.00019	0.0002	0.00015	0.00019	0.00017	7e-05	0.00015	0.00024	0.00021	0.00023	0.00018	0.00022	5e-05	0.00015	0.00039	0.00049	0.00015	0.00017	0.00021	0.00016	0.00023	0.00058	0.00068	0.00011	0.00016	0.00012	0.00025	0.00023	0.00014	0.0002	0.00017	0.00028	0.00056	0.00056	0.00013	0.00053	0.00052	0.0005	0.00066	0.00032	0.0007	0.0	0.0001	0.0005	0.00044	0.00014	0.0003	0.00034	0.00052	0.00018	0.00025	0.00012	0.00026	0.00032	0.00028	0.00027	6e-05	5e-05	0.00086	0.00016	6e-05	0.00032	0.00166	0.00015
Euryarchaeota	0.00057	0.00188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00124	0.0	0.0	0.00125	0.0	0.0	0.00107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fusobacteriota	0.02763	0.06915	0.00403	0.00114	0.00123	0.00258	0.00117	0.00083	0.00097	0.00081	0.0954	0.06158	0.00128	0.06525	0.00146	0.00738	0.0017	0.14923	0.00639	0.03183	0.00105	0.00072	0.00084	0.00103	0.00073	0.00079	0.00147	0.00168	0.04809	0.06207	0.00516	0.00854	0.00415	0.10833	0.11558	0.09621	0.00043	0.00354	0.00184	0.00148	0.00177	0.00196	0.00167	0.00162	0.11782	0.04845	0.00094	0.0019	0.00434	0.01897	0.08713	0.06923	0.02426	0.00084	0.00106	0.00132	0.00081	0.0011	0.00131	0.00104	0.00104	0.01601	0.02125	0.00199	0.00256	0.00114	0.00163	0.00319	0.01184
Hofneiviricota	0.00077	0.00174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ignavibacteriota	0.00023	0.00039	0.00033	0.00034	0.00044	0.00062	0.0004	0.00034	0.00037	0.00033	0.00014	0.00017	0.00046	0.00025	0.00043	0.00041	0.0004	0.0001	0.00015	0.00038	0.00038	0.00024	0.00027	0.00033	0.00038	0.00046	0.00047	0.00086	0.0002	0.00053	0.0003	0.00023	0.00028	0.00017	0.00045	0.00031	0.00011	0.00105	0.00063	0.00034	0.00058	0.00061	0.00057	0.00053	0.00023	0.00024	0.0	0.0003	0.00022	0.0	0.00032	0.0008	0.0	0.00028	0.00037	0.00048	0.00025	0.00039	0.00073	0.00064	0.0004	8e-05	7e-05	0.00017	0.00012	0.0001	0.00036	0.00035	0.0001
Mycoplasmatota	0.00289	0.00635	0.00335	0.00135	0.0018	0.00183	0.0016	0.00137	0.00149	0.00138	0.00518	0.08482	0.00251	0.00393	0.00374	0.00162	0.00161	0.0012	0.0008	0.00472	0.00296	0.00096	0.0011	0.00167	0.00101	0.0013	0.00364	0.00398	0.00381	0.00646	0.00168	0.00255	0.00168	0.00134	0.00536	0.00361	0.00177	0.01409	0.01146	0.00096	0.01108	0.01124	0.01102	0.01353	0.00573	0.00222	0.00388	0.0012	0.00572	0.00217	0.00213	0.00429	0.00294	0.00315	0.00536	0.01139	0.00105	0.00737	0.01289	0.00961	0.01003	0.0035	0.00192	0.00131	0.00075	0.00157	0.00306	0.00241	0.00112
Myxococcota	0.00017	0.00061	0.00095	0.00049	0.00056	0.00053	0.00059	0.00045	0.00053	0.00051	0.00037	0.00016	0.00047	0.00045	0.00096	0.00048	0.0005	0.00028	0.00035	0.00059	0.00118	0.0006	0.00072	0.00055	0.00065	0.00059	0.00157	0.00168	0.00056	0.00073	0.00032	0.00044	0.00092	0.00055	0.00082	0.00078	0.00046	0.00148	0.0014	0.00067	0.00131	0.00129	0.00119	0.00133	0.00072	0.00027	0.0	0.00061	0.00072	0.00033	0.00027	0.00063	0.00034	0.00131	0.00045	0.00106	0.0005	0.00059	0.00126	0.0011	0.00063	0.00024	0.0002	0.00045	0.00021	0.00017	0.00046	0.00044	0.0002
Negarnaviricota	0.00048	0.0005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02669	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013	0.0	0.0	0.00056	0.0	0.0	0.00073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nitrososphaerota	0.0001	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nitrospirota	0.00017	0.00015	0.00019	0.00018	0.00053	0.00025	0.00021	0.00018	0.0002	0.00019	7e-05	8e-05	0.00015	0.00015	0.00023	0.00019	0.0002	5e-05	0.00035	0.00037	0.00034	0.00012	0.00013	0.00013	0.00015	0.00052	0.00031	0.00051	0.00012	0.00014	0.00013	0.00014	0.00019	0.00012	0.00023	0.00017	9e-05	0.00041	0.00037	0.00015	0.00036	0.00036	0.00035	0.0004	0.00019	0.00011	0.0	0.00016	0.0005	0.00023	0.00012	0.00121	0.0002	0.00094	0.00014	0.00019	0.0001	0.00016	0.00037	0.00033	0.00021	4e-05	4e-05	0.0001	0.00015	5e-05	0.00046	0.00017	7e-05
Nucleocytoviricota	0.02174	0.01836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Peploviricota	0.35564	0.01179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00029	0.0	0.0	0.00403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Phixviricota	0.00039	0.00015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pisuviricota	0.01604	0.01647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00033	0.0	0.0	0.10865	0.0	0.0	0.03043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Planctomycetota	0.00063	0.0008	0.00108	0.00082	0.00101	0.00104	0.00098	0.00078	0.00088	0.00084	0.00037	0.00046	0.00092	0.00083	0.00096	0.00084	0.00094	0.00025	0.00062	0.00116	0.00197	0.00068	0.0008	0.00096	0.00077	0.00102	0.00261	0.00281	0.0006	0.0008	0.00053	0.00078	0.00109	0.00054	0.00107	0.0007	0.00074	0.00241	0.00229	0.00077	0.00213	0.00205	0.00192	0.00203	0.00077	0.00067	0.0008	0.00071	0.00118	0.00067	0.00072	0.0011	0.0007	0.00214	0.00077	0.0011	0.00054	0.00099	0.00131	0.00111	0.00107	0.00027	0.00025	0.00045	0.00034	0.00025	0.00078	0.00086	0.0003
Pseudomonadota	0.09158	0.30327	0.07279	0.09066	0.13599	0.07199	0.11788	0.10606	0.09495	0.09831	0.23603	0.13998	0.10121	0.22576	0.11632	0.11518	0.12843	0.17509	0.63061	0.18065	0.08719	0.05827	0.05985	0.06375	0.06522	0.06028	0.06455	0.0682	0.41601	0.22148	0.09391	0.18609	0.07053	0.10288	0.40272	0.58774	0.72654	0.08309	0.12974	0.04662	0.12971	0.12292	0.11753	0.11998	0.10733	0.44797	0.69731	0.06922	0.46968	0.64594	0.19725	0.26519	0.54294	0.08014	0.08719	0.11275	0.0441	0.07526	0.10968	0.08086	0.09319	0.18972	0.17622	0.05302	0.04949	0.02322	0.1071	0.09601	0.04645
Spirochaetota	0.03032	0.04691	0.03616	0.02718	0.07117	0.10533	0.08015	0.04642	0.07547	0.08447	0.00491	0.00353	0.08402	0.03675	0.05675	0.04607	0.04552	0.01604	0.0163	0.05027	0.04099	0.04095	0.02052	0.06193	0.05701	0.05618	0.05798	0.04466	0.00566	0.0525	0.03184	0.02727	0.0237	0.03919	0.03074	0.01905	0.00971	0.18985	0.17948	0.05169	0.17089	0.15708	0.15573	0.09814	0.04262	0.00188	0.04974	0.00616	0.08791	0.00295	0.01576	0.05924	0.01718	0.0411	0.05265	0.09212	0.05579	0.08519	0.07822	0.05977	0.0989	0.00057	0.00045	0.03844	0.02635	0.02016	0.08837	0.07848	0.0158
Synergistota	9e-05	0.0004	0.00029	0.00014	0.00016	0.0002	0.00016	0.00011	0.00014	0.00014	0.00042	0.00061	0.00012	0.00076	0.00015	0.00019	0.00013	0.0042	0.00019	0.00077	0.00043	0.00013	0.00015	0.00019	0.00013	0.0002	0.00039	0.00049	0.00089	0.0072	0.00016	0.00058	0.00021	0.00888	0.00052	0.00046	6e-05	0.00036	0.00036	0.00011	0.00034	0.00036	0.00032	0.0004	0.01811	0.00019	0.0	9e-05	0.00016	0.0	0.00086	0.00411	0.00229	0.0003	0.00011	0.00014	7e-05	0.00017	0.00019	0.00017	0.00019	6e-05	4e-05	0.0001	8e-05	4e-05	0.00014	0.0001	0.00019
Thermodesulfobacteriota	0.00103	0.0036	0.00692	0.0019	0.00215	0.00257	0.00218	0.00159	0.00192	0.0019	0.00128	0.00146	0.0024	0.00252	0.00277	0.00188	0.00205	0.00222	0.00124	0.04071	0.06374	0.00527	0.00531	0.00756	0.00433	0.00722	0.06332	0.03108	0.00198	0.00821	0.00305	0.00433	0.00709	0.00827	0.00279	0.00179	0.01395	0.00731	0.00559	0.00186	0.00529	0.00518	0.0053	0.00625	0.00936	0.00119	0.00124	0.00148	0.0025	0.00115	0.00236	0.03517	0.01689	0.06457	0.0032	0.00485	0.00188	0.00508	0.00688	0.00548	0.00583	0.00062	0.00052	0.00113	0.00077	0.00094	0.00234	0.00233	0.00078
Thermotogota	0.0003	0.00039	0.00015	0.00052	0.00036	0.00077	0.00061	0.00052	0.00053	0.00052	0.00014	9e-05	0.00059	0.00022	0.0003	0.00059	0.00066	9e-05	0.0001	0.0006	0.0003	0.00015	0.00018	0.0002	0.00016	0.00017	0.0003	0.00035	0.00016	0.00022	0.00056	0.00018	0.0002	0.00016	0.00052	0.00043	8e-05	0.00064	0.00041	0.00019	0.00039	0.00042	0.00039	0.0004	0.00024	0.00053	0.0	0.00017	0.00012	0.0	0.00035	0.00033	0.00017	0.0003	0.00022	0.0003	0.00014	0.00025	0.00033	0.00028	0.00028	6e-05	5e-05	0.00012	0.00012	0.00018	0.0003	0.00052	8e-05
Uroviricota	0.03576	0.05033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02611	0.0	0.0	0.01916	0.0	0.0	0.00976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Verrucomicrobiota	0.00023	0.00043	0.00042	0.00043	0.00051	0.00043	0.00052	0.00041	0.00048	0.00044	0.00014	0.00019	0.00042	0.00041	0.00047	0.0004	0.00042	0.00011	0.00022	0.00061	0.00124	0.00034	0.00043	0.00051	0.00039	0.00056	0.00168	0.00178	0.00027	0.00032	0.00035	0.0004	0.00064	0.00025	0.00041	0.00024	0.00041	0.00111	0.00109	0.00028	0.00104	0.00097	0.00091	0.00099	0.00041	0.00018	0.00043	0.00028	0.00059	0.00029	0.00032	0.00056	0.00056	0.0014	0.00042	0.00067	0.00027	0.00057	0.00092	0.00074	0.0006	0.00013	0.0001	0.00023	0.00019	0.00013	0.00055	0.00041	0.00016
Bdellovibrionota	0.0	0.00013	0.0002	0.00012	0.00014	0.00015	0.00013	0.00011	0.00012	0.00011	0.0001	8e-05	0.00015	0.00016	0.00014	0.00013	0.00013	6e-05	7e-05	0.00016	0.00022	0.0001	0.0001	0.00014	0.00011	0.00012	0.00024	0.00024	0.00016	0.00017	0.0001	0.00012	0.00015	9e-05	0.0002	0.00015	7e-05	0.00034	0.00026	0.00013	0.00026	0.00025	0.00024	0.00025	0.00013	0.00012	0.0	0.00015	0.00015	0.0	0.0001	0.00021	0.00015	0.00022	0.00013	0.00021	8e-05	0.00016	0.00024	0.00019	0.00019	5e-05	5e-05	8e-05	7e-05	3e-05	0.00014	0.00012	4e-05
Candidatus Poribacteria	0.0	0.00015	0.00011	0.0001	0.00013	0.00017	0.00011	0.0001	9e-05	9e-05	5e-05	0.0	0.0001	8e-05	0.00012	0.00014	0.00011	4e-05	4e-05	0.00014	0.00012	8e-05	9e-05	0.0001	9e-05	0.0001	0.00015	0.00017	9e-05	0.0001	6e-05	9e-05	7e-05	7e-05	0.00015	0.00016	7e-05	0.00027	0.00016	0.0001	0.00015	0.00017	0.00014	0.00015	0.00011	0.00012	0.0	9e-05	0.0	0.0	0.0	0.00018	0.0	0.00014	0.00011	0.00014	7e-05	0.00012	0.00016	0.00013	0.00012	3e-05	3e-05	4e-05	8e-05	2e-05	8e-05	9e-05	6e-05
Candidatus Zixiibacteriota	0.0	0.00012	0.0	4e-05	4e-05	6e-05	4e-05	3e-05	4e-05	4e-05	1e-05	0.0	7e-05	3e-05	4e-05	5e-05	4e-05	2e-05	0.0	9e-05	9e-05	4e-05	4e-05	6e-05	5e-05	6e-05	0.00012	0.00014	2e-05	4e-05	0.0	3e-05	7e-05	3e-05	0.0	0.0	7e-05	0.00018	0.00013	5e-05	0.00011	0.00011	0.00011	0.00012	5e-05	3e-05	0.0	3e-05	0.0	0.0	0.0	0.00016	0.0	0.00011	5e-05	7e-05	3e-05	6e-05	9e-05	8e-05	6e-05	2e-05	1e-05	2e-05	2e-05	2e-05	6e-05	4e-05	2e-05
Chlorobiota	0.0	0.00012	0.00022	8e-05	9e-05	9e-05	9e-05	7e-05	8e-05	8e-05	0.00014	9e-05	0.0001	0.00011	9e-05	0.0001	8e-05	8e-05	4e-05	0.00037	0.00036	6e-05	0.00016	0.0001	7e-05	0.0001	0.00023	0.00025	8e-05	9e-05	0.00011	0.00018	9e-05	7e-05	0.00019	0.00011	0.00012	0.00028	0.00022	9e-05	0.00022	0.00021	0.0002	0.00023	9e-05	5e-05	0.0	8e-05	0.0	0.0	8e-05	9e-05	0.0	0.00039	9e-05	0.00011	6e-05	0.00011	0.00012	0.00011	0.00011	4e-05	3e-05	0.0001	4e-05	9e-05	7e-05	0.00014	6e-05
Elusimicrobiota	0.0	0.00013	0.00017	5e-05	5e-05	0.00015	4e-05	4e-05	8e-05	4e-05	1e-05	0.0	7e-05	9e-05	8e-05	6e-05	7e-05	4e-05	4e-05	0.00028	0.00016	0.00014	0.00017	0.00056	0.00018	0.00026	0.0003	0.00027	2e-05	4e-05	0.00013	0.00011	0.00021	0.0001	0.00012	0.0	5e-05	0.00058	0.00125	7e-05	0.00118	0.00045	0.00041	0.00043	6e-05	2e-05	0.0	3e-05	0.00012	0.0	0.0	0.0003	0.0	0.00019	9e-05	0.00016	7e-05	0.00012	0.00021	0.00014	0.0001	1e-05	1e-05	4e-05	1e-05	2e-05	0.00012	8e-05	3e-05
Gemmatimonadota	0.0	0.00019	0.00013	0.00012	0.00013	0.00013	0.00014	0.00011	0.00014	0.00012	7e-05	0.0	0.00011	0.00016	0.00012	0.00012	9e-05	6e-05	6e-05	0.00018	0.0003	0.0001	0.0001	0.00014	0.00011	0.00015	0.00037	0.00041	8e-05	0.00011	7e-05	0.0001	0.00012	0.00011	0.00016	0.00017	8e-05	0.00031	0.00034	0.0001	0.00032	0.0003	0.00029	0.00032	0.00013	9e-05	0.0	9e-05	0.00011	0.0	9e-05	0.00022	0.0	0.00027	0.00011	0.00016	8e-05	0.00015	0.0002	0.00018	0.00016	6e-05	4e-05	5e-05	5e-05	3e-05	0.00013	9e-05	4e-05
Lentisphaerota	0.0	0.00015	0.00032	0.00023	0.00025	0.00023	0.00023	0.00016	0.00021	0.00018	0.00011	0.0	0.00021	0.00021	0.00022	0.00021	0.00021	0.00011	0.0	0.00026	0.00126	0.00023	0.00028	0.00044	0.00031	0.00046	0.00185	0.00162	8e-05	0.00012	0.00018	0.00018	0.00047	7e-05	0.00017	0.00013	0.00034	0.0007	0.00059	0.00011	0.0006	0.00046	0.00044	0.00032	0.00011	0.0001	0.0	0.0001	0.00045	0.0	7e-05	0.0002	0.0	0.00121	0.00016	0.00038	0.0001	0.00026	0.00044	0.00027	0.00025	3e-05	3e-05	0.0001	8e-05	7e-05	0.00017	0.00016	9e-05
