Phylum	Y2_SI_1cm	O1_S_6	Y2_B_RL_L_MG_1	Y1_LI_37cm	Y2_B_LL_L_MG_1	Y2_NC_Air__MG_2	Y2_LI_10cm	Y1_S_1	Y1_S_6	O1_SI_81cm	O1_SI_1cm	O1_LI_37cm	O1_SI_201cm	O1_LI_55cm	Y1_LI_28cm	Y1_LI_19cm	O1_B_RA_L_MG_1	Y2_LI_28cm	O1_SI_41cm	Y1_SI_137cm	O2_B_RL_L_MG_1	Y2_SI_113cm	O2_SI_145cm	Y2_SI_57cm	Y1_LI_55cm	Y1_LI_1cm	O2_LI_55cm	O2_S_6	Y2_B_N_L_MG_1	O1_B_N_L_MG_1	O2_SI_121cm	Y1_B_RA_L_MG_1	Y1_B_LL_L_MG_1	Y2_SI_169cm	Y2_B_RA_L_MG_1	O2_SI_97cm	O1_LI_28cm	Y1_SI_85cm	O1_LI_10cm	Y2_S_6	Y2_LI_55cm	O2_B_RA_L_MG_1	O2_LI_37cm	O1_B_LA_L_MG_1	Y1_LI_46cm	O1_LI_46cm	Y1_SI_29cm	O1_SI_161cm	O2_SI_25cm	O2_B_N_L_MG_1	Y2_LI_46cm	O2_B_LL_L_MG_1	Y2_SI_29cm	Y2_SI_85cm	Y2_NC_scissors__MG_2	O1_S_1	Y2_B_LA_L_MG_1	O2_SI_73cm	Y2_LI_37cm	Y1_SI_1cm	Y2_LI_19cm	O2_LI_10cm	Y2_Lip_Upper	Y2_NC_forceps__MG_2	O1_SI_121cm	O2_LI_19cm	O2_Rshoulder	O1_LI_1cm	Y2_S_1	O2_SI_49cm	O2_LI_1cm	Y1_LI_10cm	O2_SI_1cm	O2_LI_46cm	O2_Lip_Upper	O2_S_1	O1_LI_19cm	Y1_SI_113cm	Y1_B_N_L_MG_1	Y2_SI_141cm	Y1_B_RL_L_MG_1	Y2_Right_Leg	O2_Right_Leg	O1_B_LL_L_MG_1	O2_B_LA_L_MG_1	Y2_Rshoulder	O1_B_RL_L_MG_1	O2_LI_28cm	Y1_SI_57cm	Y2_LI_1cm	Y1_B_LA_L_MG_1
Thermoplasmatota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.99E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	5.47E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermoplasmatota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.32E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.04E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermoplasmatota	0	0	0	0	0	0	6.66E-05	0	0	0	0	0	0	0	0	0	0	0.000111966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.43E-05	0	0	0	9.42E-05	0	0	0	0	0	0	0	0	0	0.000119739	0	0	0	0	0	0	0	0.000123359	0	0.000110837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermoplasmatota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.02E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermoplasmatota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.70E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.06E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermoplasmatota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.76E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermoplasmatota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.21E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00016983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.13E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001342843	0	0	0	0	0	0	0	0	0	0	0	0.001387251	0	6.21E-06	0	0	0	0	2.04E-05	0	0	0	0	0	0	0	0	0
Actinomycetota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000592722	0	0	0	9.36E-06	0	0.000906957	0	0	0	0	0	0	0	0	0	0	0	2.08E-06	0	9.25E-06	0	0	0	0	0	0	0	0	0.022568512	0	0	0	0	0	0	0	0	0	0	0.000181997	0	0	0	0	0	0	0.000395597	1.49E-05	0	2.31E-05	0	0.001691822	0	0	0	0	9.25E-05	0	2.59E-05	0	0	0	0	0	0	0	0	0
Actinomycetota	0	0	0	0	0	0	0	0	0.003191964	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000254744	0	0	0	0	0	0	0	0	0	0	0	0	0	3.61E-06	0	5.54E-06	0	3.73E-06	0	5.19E-06	0	0	1.03E-05	0	0	0	0	0	0	0.00189127	0	0	0	0	0	0	0	2.04E-06	0	0.001874078	0	0	0	0	0	0.00011512	0	5.41E-06	0	0	0	0.000929973	0	0	0	0	0.000162714	0	0.000128788	0	0	0	0	0	0	0	0	0
Actinomycetota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000200223	0	0	0	0.000232885	0	0	0	0	0	0	0	0	0	0	0	0	0	1.92E-06	0	0	0	0	0	3.76E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00178062	0	0	0	0	0	0	0	1.50E-06	0	0	0	0.000238561	0	2.01E-06	0	0	0	0	6.76E-05	0	0	0	0	0	0	0	0	0
Actinomycetota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.90E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000609936	0	0	0	0	0	0	0	0	0	0	0	0.000168929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000164785	0	0	0	0	0	0	0	0	0	0	0	0	0	2.74E-06	0	1.47E-05	0	0	0	7.10E-06	0	0	2.76E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000516478	0	0	0	0	0	0	0	5.71E-06	0	0	0	0.004556644	0	1.44E-05	0	0	0	0	9.60E-05	0	0	0	0	0	0	0	0	0
Actinomycetota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000357315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.47E-05	0	0	0	0	0	0	0.000148943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00737334	0	0	0	0	0	0	0	0	0	0	0	0.000440776	0	8.09E-06	0	0	0	0	0.000148678	0	0	0	0	0	0	0	0	0
Actinomycetota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.65E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000875553	0	0	0	0	0	0	0	0	0	0	0	0.000400526	0	0	0	0	0	0	4.28E-05	0	0	0	0	0	0	0	0	0
Actinomycetota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000388422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.85E-06	0	0	0.000276307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.96E-06	0	0	0	0.001776749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000237929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000413182	0	0	0	0	0	0	0.000744654	0	0	0	0	0.000115557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.62E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.31E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002170459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.60E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.53E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.78E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000850959	0	0	0	0	0	0	0	0	0	0	0	0.0005123	0	2.39E-06	0	0	0	0	3.03E-05	0	0	0	0	0	0	0	0	0
Actinomycetota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.56E-06	0.00232468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000274922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.98E-05	0	0	0	0	0	0.000113464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.41E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003492376	0	0	0	0	0	0.00012951	0	0	0	0	0	0.000213767	0	0	0	0	0	0	0.00013575	0	0	0	0	0	0	0	0	0
Actinomycetota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000132837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.42E-05	0	0	0	1.61E-06	0	0	1.89E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000459331	0	5.89E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001066899	0	0	0	1.10E-05	0	0	0	0	0	0	0	0	0	0	0	7.99E-06	0	0	0	9.73E-06	0	0	3.11E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000354156	0	0	8.96E-06	0.005738448	0	0	0.004142136	1.11E-05	0	0	0	0.002268562	0	7.12E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.13E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.43E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000260629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000217108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetota	0	0	0	0	0	0	0	0	0	0	0	2.15E-05	0	0	0	0	0	0	0	0	0	0	0.000447274	0	0	0	7.70E-06	0	0.00522834	0	0	0	0	0	0	0	7.87E-06	0	1.77E-05	0	0	0	1.15E-05	0	0	3.32E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000378751	0	0	1.09E-05	0.006946542	0	0	0.000791194	1.10E-05	0	3.13E-05	7.24E-05	0.017719912	0	8.87E-06	0	0	0	0	2.93E-05	0.003651634	0	0	0.000769057	0	0	0	0	0
Actinomycetota	0	0	0	0	0	0	0	0	0.000962283	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001050085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.48E-06	0	0	0	3.04E-06	0	0	1.11E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001466037	0	0	0	0	0.000640616	0	5.11E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetota	0	0	0	0	0	0	0	0	0.005585937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.35E-07	0	0.000737826	0	0	0	0	0	0	0	0	0	0	0	2.62E-05	0	0	0	0	0	0	4.18E-05	0	0	0	0	0	0	0	0	0
Actinomycetota	0	0.000669599	0	0	0	0	0	0	0	0	0	3.58E-05	0	0	0	0	0	0	0.000505828	0	0	0	0.000316118	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14E-05	0	3.16E-05	0	0	0	7.82E-06	0	0	9.97E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000128698	0	0	0	0	0	0	0.000270197	0	1.75E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000187485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000155163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00023877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.11E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.23E-06	0	0	0	0.000432927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.63E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000115316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.75E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.59E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetota	0	0	0	0	0	0	0	0	0.002746028	0	0	2.37E-05	0	0	0	0	0	2.78E-06	0	0	0	0	0.000195892	0	0	0	0	0	0	0	0	0	0	0	0	0	5.65E-06	0	4.84E-06	0	7.31E-06	0	2.93E-06	0	0	1.42E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.22E-06	0	0.000413182	0	0	0	0	0	0	0	4.35E-06	0	0	0	0.00191871	0	4.14E-06	0	0	0	0	3.23E-05	0	0	0	0	0	0	0	0	0
Actinomycetota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.31E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000265617	0	0	0	0	0	0	0	0	0	0	0	5.49E-05	0	0	0	0	0	0	3.13E-05	0	0	0	0	0	0	0	0	0
Actinomycetota	0	0.000532635	0	0	0	0	9.59E-05	0.003275284	0.001384749	0	0	0.00016694	0	0.000164106	0	0	0	9.71E-05	0	0.000209925	0	0.016863064	0.002733247	0.003790951	0	5.88E-05	0	0.000414841	0	0	0	0	0	0.002839902	0	0	7.49E-05	0	0.000261923	0.011008167	6.59E-05	0	4.24E-06	0	0	0.000300517	0	0	0	0	0.00013459	0	0.006341319	0	0	0.00313979	0	0	3.12E-05	0	1.51E-05	0	0.001160846	0	0	0	0	0.000366864	0.018184515	0.012123892	6.23E-06	0.000839536	0	0	0.000184827	0	0.000195844	0	0	0.006885022	0	5.32E-05	0	0	0	0	0	0	0	0.000294648	0
Actinomycetota	0	0	0	0	0	0	0	0	0	0	0	0.00214561	0	0.001065427	0	0	0	0	0.004415453	0	0	0	0.007372451	0	0	0	8.03E-05	0	0.00133376	0	0	0	0	0	0	0	0.001478152	0	0.002214001	0	0	0	0.000349293	0	0	0.003689885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000231275	0	0	0	0.001285654	0	0.004078408	0	0.00819119	0.000304679	0	0.000467666	0.000150985	0.000870524	0	0.001805118	0	0	0	0	0	0	0	0	0	0	0.00047904	0	0	0
Actinomycetota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.47E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.89E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.52E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.87E-05	0
Actinomycetota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.17E-05	0	1.53E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.68E-06	0	1.76E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.24E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.21E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
