Phylum	Y2_SI_1cm	O1_S_6	Y2_B_RL_L_MG_1	Y1_LI_37cm	Y2_B_LL_L_MG_1	Y2_NC_Air__MG_2	Y2_LI_10cm	Y1_S_1	Y1_S_6	O1_SI_81cm	O1_SI_1cm	O1_LI_37cm	O1_SI_201cm	O1_LI_55cm	Y1_LI_28cm	Y1_LI_19cm	O1_B_RA_L_MG_1	Y2_LI_28cm	O1_SI_41cm	Y1_SI_137cm	O2_B_RL_L_MG_1	Y2_SI_113cm	O2_SI_145cm	Y2_SI_57cm	Y1_LI_55cm	Y1_LI_1cm	O2_LI_55cm	O2_S_6	Y2_B_N_L_MG_1	O1_B_N_L_MG_1	O2_SI_121cm	Y1_B_RA_L_MG_1	Y1_B_LL_L_MG_1	Y2_SI_169cm	Y2_B_RA_L_MG_1	O2_SI_97cm	O1_LI_28cm	Y1_SI_85cm	O1_LI_10cm	Y2_S_6	Y2_LI_55cm	O2_B_RA_L_MG_1	O2_LI_37cm	O1_B_LA_L_MG_1	Y1_LI_46cm	O1_LI_46cm	Y1_SI_29cm	O1_SI_161cm	O2_SI_25cm	O2_B_N_L_MG_1	Y2_LI_46cm	O2_B_LL_L_MG_1	Y2_SI_29cm	Y2_SI_85cm	Y2_NC_scissors__MG_2	O1_S_1	Y2_B_LA_L_MG_1	O2_SI_73cm	Y2_LI_37cm	Y1_SI_1cm	Y2_LI_19cm	O2_LI_10cm	Y2_Lip_Upper	Y2_NC_forceps__MG_2	O1_SI_121cm	O2_LI_19cm	O2_Rshoulder	O1_LI_1cm	Y2_S_1	O2_SI_49cm	O2_LI_1cm	Y1_LI_10cm	O2_SI_1cm	O2_LI_46cm	O2_Lip_Upper	O2_S_1	O1_LI_19cm	Y1_SI_113cm	Y1_B_N_L_MG_1	Y2_SI_141cm	Y1_B_RL_L_MG_1	Y2_Right_Leg	O2_Right_Leg	O1_B_LL_L_MG_1	O2_B_LA_L_MG_1	Y2_Rshoulder	O1_B_RL_L_MG_1	O2_LI_28cm	Y1_SI_57cm	Y2_LI_1cm	Y1_B_LA_L_MG_1
Halobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.16E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.71E-06	0	0	0	0	0	0	0	0	0	2.07E-05	0	5.64E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000140645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000197134	0	0	0	0	0.00241881	0	0	0	0.004391153	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000805407	0	0.00482527	0	0	0	0	0	0	0	0.000886904	0	0	0	0	0	0	0	0.000465642	0	0.00032668	0	0	0	0	0.003661499	0	0	0	0	0.00318929	0	0.002735195	0.002397474	9.76E-05	0	0	0	0	0	0	0.001514133	0	0	0	0	0	0.0042958	0	0	0
Methanobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000361983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000288306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00042011	0	0.000426761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000587483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000471571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000524674	0	0.001334083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanobacteriota	0	0	0	0.002069698	0	0	0	0	0	0	0	0	0	0	0.002156665	0.000896608	0	0	0	0	0	0	0	0	0.000244577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002139296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000860666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000540508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermoplasmatota	0	0	0	6.58E-05	0	0	0.000681512	0	0	0	0	0.001051322	0	0.00034841	0	8.69E-05	0	0.002041614	0	0	0	0	0.001642806	0	0	0	0.003779358	0.001670476	0	0	0.003891454	0	0	0	0	0	0.000503731	0	2.98E-05	0	0.00232889	0	0.002333177	0	4.63E-05	5.53E-05	0	0	0.00161904	0	0.002098218	0	0	0	0	0	0	0.004736506	0.002130198	0	0.002823017	0.001128753	0	0	0	0.001490718	0	0	0	0.002327043	0.00235454	0	0.002378305	0.002901885	0.000191187	0	6.86E-05	0	0	0	0	0.000259068	0	0	0	0	0	0.001670527	0	3.80E-05	0
Thermoplasmatota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001466251	0	0	0	0.002125577	0.001966791	0	0	0.002749961	0	0	0	0	0	0	0	0	0	0	0	0.00218829	0	0	0	0	0	0.003588872	0	0	0	0	0	0	0	0	0.002182912	0	0	0	0.001285284	0	0	0	0.001260047	0	0	0	0.0033044	0.00216984	0	0.002264157	0.001468546	7.65E-06	0	0	0	0	0	0	0	0	0	0	0	0	0.001387104	0	0	0
Thermoplasmatota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.64E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
